municipio,departamento
Santiago Chimaltenanango,Huehuetenango
Santiago Sactepéquez,Sacatepéquez
Santo Domingo Suchitepéquez,Suchitepéquez
Santo Domingo Xenacoj,Sacatepéquez
Santo Tomás la Unión,Suchitepéquez
Sayaxché,Petén
Senahú,Alta Verapaz
Sibilia,Quetzaltenango
Sibinal,San Marcos
Sipacapa,San Marcos
Sipacate,Escuintla
Siquinalá,Escuintla
Sololá,Sololá
Soloma,Huehuetenango
Sumpango,Sacatepéquez
Tacaná,San Marcos
Tactic,Alta Verapaz
Tajumulco,San Marcos
Tamahú,Alta Verapaz
Taxisco,Santa Rosa
Tecpán Guatemala,Chimaltenango
Tectitán,Huehuetenango
Teculután,Zacapa
Tejutla,San Marcos
Tiquizate,Escuintla
Todos Santos Cuchumatán,Huehuetenango
Totonicapán,Totonicapán
Tucurú,Alta Verapaz
Unión Cantinil,Huehuetenango
Uspantán,Quiché
Usumatlán,Zacapa
Villa Canales,Guatemala
Villa Nueva,Guatemala
Yepocapa,Chimaltenango
Yupiltepeque,Jutiapa
Zacapa,Zacapa
Zacualpa,Quiché
Zapotitlán,Jutiapa
Zaragoza,Chimaltenango
Zuníl,Quetzaltenango
Zunilito,Suchitepéquez
