,municipio,Cod_mun,departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
64,El Progreso,2202,Jutiapa,27471.5035,9509.2072,18625.675,18739.8537,18862.3441,18985.8894,19114.6389,19252.4715,19392.3448,19527.6148,19651.9983
65,El Quetzal,1220,San Marcos,22627.3176,23053.4394,23495.177,23943.9184,24391.2358,24828.8534,25262.2103,25696.6283,26123.9391,26536.1431,26925.4435
66,El Rodeo,1214,San Marcos,16454.2273,16726.5863,17008.9353,17295.0021,17578.6762,17854.0137,18124.9787,18395.4055,18659.4463,18911.4512,19145.9474
67,El Tejar,416,Chimaltenango,22068.2967,23100.3525,24175.7579,25293.4204,26452.1117,27650.4464,28890.9481,30176.2754,31504.9764,32875.4735,34285.9977
68,El Tumbador,1213,San Marcos,40516.5674,41104.9484,41715.3508,42332.2309,42940.6242,43526.1345,44098.4758,44667.0367,45217.6891,45736.8542,46211.5038
69,Escuintla,501,Escuintla,147617.347,150390.148,153131.184,155824.901,158455.983,161009.318,163494.803,165922.157,168276.616,170543.356,172708.169
70,Esquipulas,2007,Chiquimula,53200.6929,54693.7861,56257.67,57881.7036,59554.9649,61266.318,63023.6264,64834.9752,66689.049,68574.195,70478.616
71,Esquipulas Palo Gordo,1227,San Marcos,11143.157,11443.8858,11756.5321,12076.9781,12401.0839,12724.6242,13050.362,13381.0461,13712.4536,14040.3194,14360.3365
72,Estanzuela,1902,Zacapa,11140.2737,11296.4294,11468.5678,11652.2953,11843.2077,12036.9247,12236.3038,12444.2216,12656.2801,12868.0987,13075.3149
73,Flores,1701,Petén,53867.4142,56186.3004,58502.0792,60818.6207,63139.8571,65469.7171,67804.7645,70141.5243,72483.9769,74836.1719,77202.2339
74,Flores Costa Cuca,922,Quetzaltenango,26078.3523,26879.8194,27707.0616,28554.437,29416.1216,30286.1058,31168.1521,32066.1346,32973.9267,33885.2056,34793.4952
75,Fraijanes,113,Guatemala,42607.1077,43886.437,45167.028,46448.3898,47730.0944,49011.6984,50292.1454,51570.4118,52846.011,54118.477,55387.341
76,Fray Bartolomé de las Casas,1615,Alta Verapaz,60777.3821,62551.706,64369.9104,66223.5313,68104.3463,70004.0639,71927.3528,73878.8357,75850.363,77833.642,79820.618
77,Génova,921,Quetzaltenango,38866.5255,39848.1573,40856.2718,41882.0719,42916.6844,43951.1725,44990.8681,46041.1494,47093.0083,48137.3595,49165.0443
78,Granados,1505,Baja Verapaz,11253.1056,11290.8227,11335.6215,11384.1509,11433.3168,11480.2648,11526.5483,11573.6019,11618.7057,11659.3815,11693.3516
79,Gualán,1904,Zacapa,39963.9687,40190.3594,40466.6965,40776.3033,41103.0045,41431.2047,41770.5471,42130.3731,42495.3566,42850.6703,43182.0279
80,Guanagazapa,508,Escuintla,16591.147,16990.6195,17390.2026,17788.0647,18182.4101,18571.4029,18956.0788,19337.4848,19713.7926,20083.1582,20443.7689
81,Guastatoya,201,El Progreso,21724.4177,22175.7544,22653.8425,23152.7923,23666.5542,24188.9867,24724.3939,25277.1609,25841.074,26409.8072,26976.924
